Time			value	port					component
00:00:10:000   	20     	out                 	generator_con  
00:00:20:000   	1      	packet_sent_out     	sender1        
00:00:20:000   	11     	data_out            	sender1        
00:00:23:000   	11     	out                 	subnet1        
00:00:33:000   	11     	packet_sent_out     	repeater1      
00:00:36:000   	11     	out                 	subnet3        
00:00:46:000   	1      	out                 	receiver1      
00:00:49:000   	1      	out                 	subnet4        
00:00:59:000   	1      	ack_received_out    	repeater1      
00:01:02:000   	1      	out                 	subnet2        
00:01:02:000   	1      	ack_received_out    	sender1        
00:01:12:000   	2      	packet_sent_out     	sender1        
00:01:12:000   	20     	data_out            	sender1        
00:01:15:000   	20     	out                 	subnet1        
00:01:25:000   	20     	packet_sent_out     	repeater1      
00:01:28:000   	20     	out                 	subnet3        
00:01:38:000   	0      	out                 	receiver1      
00:01:41:000   	0      	out                 	subnet4        
00:01:51:000   	0      	ack_received_out    	repeater1      
00:01:54:000   	0      	out                 	subnet2        
00:01:54:000   	0      	ack_received_out    	sender1        
00:02:04:000   	3      	packet_sent_out     	sender1        
00:02:04:000   	31     	data_out            	sender1        
00:02:07:000   	31     	out                 	subnet1        
00:02:17:000   	31     	packet_sent_out     	repeater1      
00:02:20:000   	31     	out                 	subnet3        
00:02:30:000   	1      	out                 	receiver1      
00:02:33:000   	1      	out                 	subnet4        
00:02:43:000   	1      	ack_received_out    	repeater1      
00:02:46:000   	1      	out                 	subnet2        
00:02:46:000   	1      	ack_received_out    	sender1        
00:02:56:000   	4      	packet_sent_out     	sender1        
00:02:56:000   	40     	data_out            	sender1        
00:02:59:000   	40     	out                 	subnet1        
00:03:09:000   	40     	packet_sent_out     	repeater1      
00:03:12:000   	40     	out                 	subnet3        
00:03:22:000   	0      	out                 	receiver1      
00:04:06:000   	4      	packet_sent_out     	sender1        
00:04:06:000   	40     	data_out            	sender1        
00:04:09:000   	40     	out                 	subnet1        
00:04:19:000   	40     	packet_sent_out     	repeater1      
00:04:22:000   	40     	out                 	subnet3        
00:04:32:000   	0      	out                 	receiver1      
00:04:35:000   	0      	out                 	subnet4        
00:04:45:000   	0      	ack_received_out    	repeater1      
00:04:48:000   	0      	out                 	subnet2        
00:04:48:000   	0      	ack_received_out    	sender1        
00:04:58:000   	5      	packet_sent_out     	sender1        
00:04:58:000   	51     	data_out            	sender1        
00:05:01:000   	51     	out                 	subnet1        
00:05:11:000   	51     	packet_sent_out     	repeater1      
00:05:14:000   	51     	out                 	subnet3        
00:05:24:000   	1      	out                 	receiver1      
00:05:27:000   	1      	out                 	subnet4        
00:05:37:000   	1      	ack_received_out    	repeater1      
00:05:40:000   	1      	out                 	subnet2        
00:05:40:000   	1      	ack_received_out    	sender1        
00:05:50:000   	6      	packet_sent_out     	sender1        
00:05:50:000   	60     	data_out            	sender1        
00:05:53:000   	60     	out                 	subnet1        
00:06:03:000   	60     	packet_sent_out     	repeater1      
00:06:06:000   	60     	out                 	subnet3        
00:06:16:000   	0      	out                 	receiver1      
00:06:19:000   	0      	out                 	subnet4        
00:06:29:000   	0      	ack_received_out    	repeater1      
00:06:32:000   	0      	out                 	subnet2        
00:06:32:000   	0      	ack_received_out    	sender1        
00:06:42:000   	7      	packet_sent_out     	sender1        
00:06:42:000   	71     	data_out            	sender1        
00:06:45:000   	71     	out                 	subnet1        
00:06:55:000   	71     	packet_sent_out     	repeater1      
00:06:58:000   	71     	out                 	subnet3        
00:07:08:000   	1      	out                 	receiver1      
00:07:11:000   	1      	out                 	subnet4        
00:07:21:000   	1      	ack_received_out    	repeater1      
00:07:24:000   	1      	out                 	subnet2        
00:07:24:000   	1      	ack_received_out    	sender1        
00:07:34:000   	8      	packet_sent_out     	sender1        
00:07:34:000   	80     	data_out            	sender1        
00:07:37:000   	80     	out                 	subnet1        
00:07:47:000   	80     	packet_sent_out     	repeater1      
00:07:50:000   	80     	out                 	subnet3        
00:08:00:000   	0      	out                 	receiver1      
00:08:03:000   	0      	out                 	subnet4        
00:08:13:000   	0      	ack_received_out    	repeater1      
00:08:16:000   	0      	out                 	subnet2        
00:08:16:000   	0      	ack_received_out    	sender1        
00:08:26:000   	9      	packet_sent_out     	sender1        
00:08:26:000   	91     	data_out            	sender1        
00:08:29:000   	91     	out                 	subnet1        
00:08:39:000   	91     	packet_sent_out     	repeater1      
00:08:42:000   	91     	out                 	subnet3        
00:08:52:000   	1      	out                 	receiver1      
00:08:55:000   	1      	out                 	subnet4        
00:09:05:000   	1      	ack_received_out    	repeater1      
00:09:08:000   	1      	out                 	subnet2        
00:09:08:000   	1      	ack_received_out    	sender1        
00:09:18:000   	10     	packet_sent_out     	sender1        
00:09:18:000   	100    	data_out            	sender1        
00:09:21:000   	100    	out                 	subnet1        
00:09:31:000   	100    	packet_sent_out     	repeater1      
00:09:34:000   	100    	out                 	subnet3        
00:09:44:000   	0      	out                 	receiver1      
00:09:47:000   	0      	out                 	subnet4        
00:09:57:000   	0      	ack_received_out    	repeater1      
00:10:00:000   	0      	out                 	subnet2        
00:10:00:000   	0      	ack_received_out    	sender1        
00:10:10:000   	11     	packet_sent_out     	sender1        
00:10:10:000   	111    	data_out            	sender1        
00:10:13:000   	111    	out                 	subnet1        
00:10:23:000   	111    	packet_sent_out     	repeater1      
00:10:26:000   	111    	out                 	subnet3        
00:10:36:000   	1      	out                 	receiver1      
00:10:39:000   	1      	out                 	subnet4        
00:10:49:000   	1      	ack_received_out    	repeater1      
00:10:52:000   	1      	out                 	subnet2        
00:10:52:000   	1      	ack_received_out    	sender1        
00:11:02:000   	12     	packet_sent_out     	sender1        
00:11:02:000   	120    	data_out            	sender1        
00:12:12:000   	12     	packet_sent_out     	sender1        
00:12:12:000   	120    	data_out            	sender1        
00:12:15:000   	120    	out                 	subnet1        
00:12:25:000   	120    	packet_sent_out     	repeater1      
00:12:28:000   	120    	out                 	subnet3        
00:12:38:000   	0      	out                 	receiver1      
00:12:41:000   	0      	out                 	subnet4        
00:12:51:000   	0      	ack_received_out    	repeater1      
00:12:54:000   	0      	out                 	subnet2        
00:12:54:000   	0      	ack_received_out    	sender1        
00:13:04:000   	13     	packet_sent_out     	sender1        
00:13:04:000   	131    	data_out            	sender1        
00:13:07:000   	131    	out                 	subnet1        
00:13:17:000   	131    	packet_sent_out     	repeater1      
00:13:20:000   	131    	out                 	subnet3        
00:13:30:000   	1      	out                 	receiver1      
00:13:33:000   	1      	out                 	subnet4        
00:13:43:000   	1      	ack_received_out    	repeater1      
00:13:46:000   	1      	out                 	subnet2        
00:13:46:000   	1      	ack_received_out    	sender1        
00:13:56:000   	14     	packet_sent_out     	sender1        
00:13:56:000   	140    	data_out            	sender1        
00:13:59:000   	140    	out                 	subnet1        
00:14:09:000   	140    	packet_sent_out     	repeater1      
00:14:12:000   	140    	out                 	subnet3        
00:14:22:000   	0      	out                 	receiver1      
00:14:25:000   	0      	out                 	subnet4        
00:14:35:000   	0      	ack_received_out    	repeater1      
00:14:38:000   	0      	out                 	subnet2        
00:14:38:000   	0      	ack_received_out    	sender1        
00:14:48:000   	15     	packet_sent_out     	sender1        
00:14:48:000   	151    	data_out            	sender1        
00:14:51:000   	151    	out                 	subnet1        
00:15:01:000   	151    	packet_sent_out     	repeater1      
00:15:04:000   	151    	out                 	subnet3        
00:15:14:000   	1      	out                 	receiver1      
00:15:17:000   	1      	out                 	subnet4        
00:15:27:000   	1      	ack_received_out    	repeater1      
00:15:58:000   	15     	packet_sent_out     	sender1        
00:15:58:000   	151    	data_out            	sender1        
00:16:01:000   	151    	out                 	subnet1        
00:16:11:000   	151    	packet_sent_out     	repeater1      
00:17:08:000   	15     	packet_sent_out     	sender1        
00:17:08:000   	151    	data_out            	sender1        
00:17:11:000   	151    	out                 	subnet1        
00:17:21:000   	151    	packet_sent_out     	repeater1      
00:17:24:000   	151    	out                 	subnet3        
00:17:34:000   	1      	out                 	receiver1      
00:17:37:000   	1      	out                 	subnet4        
00:17:47:000   	1      	ack_received_out    	repeater1      
00:17:50:000   	1      	out                 	subnet2        
00:17:50:000   	1      	ack_received_out    	sender1        
00:18:00:000   	16     	packet_sent_out     	sender1        
00:18:00:000   	160    	data_out            	sender1        
00:18:03:000   	160    	out                 	subnet1        
00:18:13:000   	160    	packet_sent_out     	repeater1      
00:18:16:000   	160    	out                 	subnet3        
00:18:26:000   	0      	out                 	receiver1      
00:18:29:000   	0      	out                 	subnet4        
00:18:39:000   	0      	ack_received_out    	repeater1      
00:18:42:000   	0      	out                 	subnet2        
00:18:42:000   	0      	ack_received_out    	sender1        
00:18:52:000   	17     	packet_sent_out     	sender1        
00:18:52:000   	171    	data_out            	sender1        
00:18:55:000   	171    	out                 	subnet1        
00:19:05:000   	171    	packet_sent_out     	repeater1      
00:19:08:000   	171    	out                 	subnet3        
00:19:18:000   	1      	out                 	receiver1      
00:19:21:000   	1      	out                 	subnet4        
00:19:31:000   	1      	ack_received_out    	repeater1      
00:19:34:000   	1      	out                 	subnet2        
00:19:34:000   	1      	ack_received_out    	sender1        
00:19:44:000   	18     	packet_sent_out     	sender1        
00:19:44:000   	180    	data_out            	sender1        
00:19:47:000   	180    	out                 	subnet1        
00:19:57:000   	180    	packet_sent_out     	repeater1      
00:20:00:000   	180    	out                 	subnet3        
00:20:10:000   	0      	out                 	receiver1      
00:20:13:000   	0      	out                 	subnet4        
00:20:23:000   	0      	ack_received_out    	repeater1      
00:20:54:000   	18     	packet_sent_out     	sender1        
00:20:54:000   	180    	data_out            	sender1        
00:20:57:000   	180    	out                 	subnet1        
00:21:07:000   	180    	packet_sent_out     	repeater1      
00:21:10:000   	180    	out                 	subnet3        
00:21:20:000   	0      	out                 	receiver1      
00:21:23:000   	0      	out                 	subnet4        
00:21:33:000   	0      	ack_received_out    	repeater1      
00:21:36:000   	0      	out                 	subnet2        
00:21:36:000   	0      	ack_received_out    	sender1        
00:21:46:000   	19     	packet_sent_out     	sender1        
00:21:46:000   	191    	data_out            	sender1        
00:21:49:000   	191    	out                 	subnet1        
00:21:59:000   	191    	packet_sent_out     	repeater1      
00:22:02:000   	191    	out                 	subnet3        
00:22:12:000   	1      	out                 	receiver1      
00:22:15:000   	1      	out                 	subnet4        
00:22:25:000   	1      	ack_received_out    	repeater1      
00:22:28:000   	1      	out                 	subnet2        
00:22:28:000   	1      	ack_received_out    	sender1        
00:22:38:000   	20     	packet_sent_out     	sender1        
00:22:38:000   	200    	data_out            	sender1        
